,name,address,city,state,postal_code,stars,review_count,is_open,categories
414,TruFusion,8575 S Eastern Ave,Las Vegas,NV,89123,4.5,291,1,"Cycling Classes, Pilates, Active Life, Boot Camps, Fitness & Instruction, Yoga"
436,Thai Massage Pro,"4500 E Sunset Rd, Ste 2",Henderson,NV,89014,4.5,33,1,"Sports Wear, Massage, Sporting Goods, Gymnastics, Beauty & Spas, Shopping, Active Life, Fitness & Instruction, Health & Medical, Fashion, Massage Therapy, Day Spas, Physical Therapy, Gyms"
502,Dragonfly Hot Yoga,309 W Johnson St,Madison,WI,53703,4.5,11,1,"Fitness & Instruction, Active Life, Barre Classes, Yoga"
546,Edge Performance Training,"200 Dalton Ave, Ste A",Charlotte,NC,28206,5.0,3,1,"Active Life, Fitness & Instruction, Trainers"
561,Cloud Care Clinics,55 Dundas Street E,Toronto,ON,M5B 1C6,3.5,40,1,"Trainers, Active Life, Doctors, Fitness & Instruction, Medical Centers, Physical Therapy, Health & Medical, Naturopathic/Holistic, Massage Therapy, Walk-in Clinics, Urgent Care, Chiropractors, Family Practice"
654,Anytime Fitness,"845 Market St, Unit 2",Oregon,WI,53575,3.0,6,1,"Trainers, Fitness & Instruction, Active Life, Gyms"
673,Shambhala Meditation,670 Bloor Street W,Toronto,ON,M6G 1L2,5.0,3,1,"Active Life, Fitness & Instruction"
674,One Kick's Gym,121 E Sunset Rd,Las Vegas,NV,89119,5.0,12,1,"Fitness & Instruction, Boxing, Active Life, Martial Arts, Gyms"
767,Carrefour Multisports,3095 Autoroute Jean-Noël-Lavoie,Laval,QC,H7P 4W5,4.5,6,1,"Health & Medical, Active Life, Sports Clubs, Gyms, Fitness & Instruction, Tennis"
833,CrossFit North Scottsdale,"9525 E DoubleTree Ranch Rd, Ste 102",Scottsdale,AZ,85258,4.5,10,1,"Nutritionists, Boot Camps, Fitness & Instruction, Active Life, Weight Loss Centers, Gyms, Trainers, Interval Training Gyms, Yoga, Physical Therapy, Health & Medical"
866,CrossFit Veni Vidi Vici,"600 S Green Valley Pkwy, Ste 110",Henderson,NV,89052,5.0,36,1,"Active Life, Fitness & Instruction, Interval Training Gyms, Health & Medical, Gyms, Weight Loss Centers, Trainers"
897,Fitness Together,"16151 Lancaster Hwy, Ste C",Charlotte,NC,28277,5.0,3,1,"Active Life, Fitness & Instruction, Trainers, Gyms"
942,LPGA USGA Girls Golf of Phoenix,10888 N 19th Ave,Phoenix,AZ,85029,5.0,4,1,"Fitness & Instruction, Golf Lessons, Golf, Amateur Sports Teams, Active Life, Kids Activities, Local Services, Community Service/Non-Profit"
960,Gracie Barra Ahwatukee,"1304 E Chandler Blvd, Ste 102",Phoenix,AZ,85048,3.5,3,1,"Martial Arts, Brazilian Jiu-jitsu, Fitness & Instruction, Active Life"
963,Alberta Ballet,141 18 Avenue SW,Calgary,AB,T2S 0B8,4.0,3,1,"Specialty Schools, Active Life, Fitness & Instruction, Performing Arts, Dance Studios, Education, Dance Schools, Opera & Ballet, Arts & Entertainment"
1038,CrossFit Mecklenburg,228 Peterson Dr,Charlotte,NC,28217,5.0,4,1,"Gyms, Fitness & Instruction, Active Life"
1102,UNDRCARD Boxing Studio,349 10th Avenue Southwest,Calgary,AB,T2R 0A5,5.0,7,1,"Boxing, Fitness & Instruction, Active Life, Gyms, Trainers"
1110,PHX Fray,2131 N 77th St,Scottsdale,AZ,85251,3.0,9,1,"Social Clubs, Amateur Sports Teams, Arts & Entertainment, Fitness & Instruction, Sports Clubs, Active Life, Soccer"
1214,Millennium Dance Complex,2504 E Carson St,Pittsburgh,PA,15203,3.0,4,1,"Art Space Rentals, Education, Home Services, Summer Camps, Real Estate, Fitness & Instruction, Private Tutors, Active Life, Dance Studios, Specialty Schools, Dance Schools"
1262,ACS Martial Arts,"1989 W Elliot Rd, Ste 17",Chandler,AZ,85224,5.0,6,1,"Active Life, Fitness & Instruction, Martial Arts, Trainers, Brazilian Jiu-jitsu, Chinese Martial Arts, Tai Chi, Self-defense Classes"
1273,Anytime Fitness,109 W John St,Champaign,IL,61820,3.5,3,1,"Gyms, Active Life, Trainers, Fitness & Instruction"
1276,Team Afterburn,"78 N Cooper Rd, Ste 108",Gilbert,AZ,85233,5.0,11,1,"Cardio Classes, Nutritionists, Trainers, Active Life, Boot Camps, Health & Medical, Fitness & Instruction"
1364,Energie Cardio,6610 Rue Sherbrooke O,Montréal,QC,H4B 1N5,4.5,3,1,"Fitness & Instruction, Active Life, Trainers, Cardio Classes, Gyms"
1367,The Movement Dance Experience,"4285 N Rancho Dr, Ste 120",Las Vegas,NV,89130,5.0,13,1,"Specialty Schools, Dance Schools, Dance Studios, Active Life, Arts & Entertainment, Performing Arts, Education, Fitness & Instruction"
1510,Bebe Nails & Spa,313 19 Street NW,Calgary,AB,T2N 2J2,3.0,3,1,"Hair Salons, Fitness & Instruction, Beauty & Spas, Gyms, Active Life, Massage"
1575,Planet Fitness,1452-1454 Dundas Street,East Mississauga,ON,L4X 1L4,4.0,5,1,"Active Life, Trainers, Fitness & Instruction, Gyms"
1578,Fitness 19 Henderson,"10624 So Eastern Ave, Ste K",Henderson,NV,89052,3.0,66,1,"Active Life, Fitness & Instruction, Trainers, Gyms, Circuit Training Gyms"
1609,Hubbard Family Swim School,"8402 W Thunderbird Rd, Ste B103",Peoria,AZ,85381,4.5,31,1,"Specialty Schools, Fitness & Instruction, Active Life, Swimming Lessons/Schools, Education"
1681,RAH Centre,1985 Danforth Avenue,Toronto,ON,M4C 1J7,2.5,3,1,"Active Life, Fitness & Instruction, Dance Studios, Tai Chi"
1707,Healing Roots Massage & Wellness Center,5829 Ellsworth Ave,Pittsburgh,PA,15232,5.0,4,1,"Health & Medical, Massage Therapy, Meditation Centers, Pilates, Massage, Beauty & Spas, Yoga, Fitness & Instruction, Day Spas, Active Life, Reiki"
1708,lululemon athletica Yorkdale Mall,"3401 Dufferin Street, 244A",Toronto,ON,M6A 3A1,3.0,8,1,"Sporting Goods, Sports Wear, Women's Clothing, Fashion, Accessories, Shopping, Fitness & Instruction, Yoga, Active Life"
1736,Lala Luna Massage & Spa,"10830 N 71st Pl, Ste 101",Scottsdale,AZ,85254,5.0,47,1,"Health & Medical, Fitness & Instruction, Active Life, Massage Therapy, Yoga, Reflexology, Beauty & Spas, Massage, Day Spas"
1737,Titans Gym,10755 Ravenna Rd,Twinsburg,OH,44087,3.5,9,1,"Active Life, Gyms, Fitness & Instruction, Trainers"
1764,Arthur Murray Dance Studio - Las Vegas West,"4440 S Durango Dr, Ste A",Las Vegas,NV,89147,4.5,20,1,"Active Life, Fitness & Instruction, Performing Arts, Specialty Schools, Dance Studios, Arts & Entertainment, Dance Schools, Education"
1773,LA Fitness,"4100 William Penn Hwy, Ste 43",Monroeville,PA,15146,3.5,36,1,"Active Life, Gyms, Fitness & Instruction, Yoga, Trainers, Sports Clubs"
1784,Modo Yoga Griffintown,"1744 Rue William, Suite 500",Montréal,QC,H3J 1R4,4.0,4,1,"Yoga, Fitness & Instruction, Active Life"
1899,Anytime Fitness,149 Cross Center Rd,Denver,NC,28037,4.0,5,1,"Active Life, Fitness & Instruction, Trainers, Gyms"
1924,Planet Fitness,1351 South Cannon Blvd,Kannapolis,NC,28081,4.0,8,1,"Fitness & Instruction, Trainers, Gyms, Active Life"
2016,Gold's Gym,5111 Northland Dr NW,Calgary,AB,T2L 2J8,2.0,5,1,"Beauty & Spas, Active Life, Gyms, Tanning, Fitness & Instruction"
2058,One Love Grappling Arts,"3121 E Greenway Rd, Ste 207",Phoenix,AZ,85032,5.0,11,1,"Fitness & Instruction, Martial Arts, Active Life"
2132,Challenge,,Tempe,AZ,85281,5.0,5,1,"Boot Camps, Active Life, Sports Clubs, Fitness & Instruction, Batting Cages, Trainers, Gyms"
2193,Childress Klein YMCA,"301 S College St, One Wells Fargo Center, Ste 200",Charlotte,NC,28202,4.0,39,1,"Gyms, Health & Medical, Financial Services, Weight Loss Centers, Fitness & Instruction, Child Care & Day Care, Active Life, Banks & Credit Unions, Local Services"
2245,Pure Barre - Brecksville,8495 Chippewa Rd,Brecksville,OH,44141,5.0,3,1,"Fitness & Instruction, Active Life, Barre Classes"
2328,CorePower Yoga,"2875 W Ray Rd, Ste 14",Chandler,AZ,85224,4.5,25,1,"Active Life, Fitness & Instruction, Yoga, Gyms"
2402,Root 18 CrossFit,600 W Liberty St,Medina,OH,44256,5.0,3,1,"Fitness & Instruction, Gyms, Active Life, Interval Training Gyms"
2499,Jewel In the Lotus Yoga,821 E Johnson Ave,Madison,WI,53703,5.0,4,1,"Yoga, Fitness & Instruction, Trainers, Active Life"
2549,Climb Cleveland,2190 Professor Ave,Cleveland,OH,44113,5.0,10,1,"Rock Climbing, Active Life, Fitness & Instruction, Gyms, Yoga, Dance Studios"
2611,The Camp Transformation Center - Las Vegas East,3950 East Sunset,Las Vegas,NV,89120,5.0,6,1,"Active Life, Fitness & Instruction, Boot Camps, Weight Loss Centers, Gyms, Health & Medical"
2693,Anytime Fitness,2980 Cahill Main,Fitchburg,WI,53711,2.5,7,1,"Fitness & Instruction, Trainers, Gyms, Active Life, Boot Camps"
2703,My Gym,"1300 W Sunset Rd, Ste 1737, The Galleria At Sunset",Henderson,NV,89014,4.0,34,1,"Kids Activities, Gyms, Gymnastics, Party & Event Planning, Active Life, Fitness & Instruction, Event Planning & Services"
2808,Mettler Center,2906 Crossing Ct,Champaign,IL,61822,3.5,5,1,"Health & Medical, Gyms, Chiropractors, Yoga, Physical Therapy, Beauty & Spas, Massage Therapy, Active Life, Nutritionists, Fitness & Instruction, Massage, Trainers"
2857,Anytime Fitness,10720 Yonge Street,Richmond Hill,ON,L4C 3C9,4.5,9,1,"Trainers, Gyms, Fitness & Instruction, Active Life"
2980,Charlotte Jiu-Jitsu Academy,210 Rampart St,Charlotte,NC,28203,5.0,3,1,"Active Life, Fitness & Instruction, Martial Arts, Brazilian Jiu-jitsu"
2991,Inner Diva Fitness,596 Griffith Rd,Charlotte,NC,28217,5.0,4,1,"Education, Specialty Schools, Pole Dancing Classes, Trainers, Fitness & Instruction, Event Planning & Services, Active Life, Yoga, Dance Studios, Venues & Event Spaces"
3014,Evolve Dance Center,"6070 S Rainbow Blvd, Ste 8",Las Vegas,NV,89118,5.0,5,1,"Dance Schools, Education, Fitness & Instruction, Specialty Schools, Active Life, Dance Studios"
3076,Vedas Fitness,1360 E 9th St,Cleveland,OH,44114,5.0,6,1,"Active Life, Fitness & Instruction, Yoga, Trainers, Gyms"
3100,CrossFit S3,412 Marvin Rd,Fort Mill,SC,29707,5.0,4,1,"Health & Medical, Interval Training Gyms, Gyms, Active Life, Fitness & Instruction, Boot Camps, Summer Camps, Trainers"
3104,Hot Yoga On Crowfoot & Spin Studio,88 Crowfoot Terrace NW,Calgary,AB,T3G 4J8,4.5,7,1,"Active Life, Fitness & Instruction, Local Services, Yoga"
3113,Full Out Performance Dance Company,"6348 S Higley Rd, Ste 101",Gilbert,AZ,85297,4.0,5,1,"Fitness & Instruction, Dance Schools, Nightlife, Dance Studios, Dance Clubs, Specialty Schools, Education, Active Life"
3198,Sidney Silva BJJ Academy,3250 N Tenaya Way,Las Vegas,NV,89129,5.0,3,1,"Fitness & Instruction, Self-defense Classes, Martial Arts, Brazilian Jiu-jitsu, Active Life"
3204,STEVE-N-KIDS! Party Celebrations!,,Las Vegas,NV,89110,4.5,6,1,"Local Services, Fitness & Instruction, Playgrounds, Child Care & Day Care, Active Life, Clowns, Event Planning & Services, Party & Event Planning, Party Equipment Rentals"
3219,Modern Milk - Gilbert,"3244 E Guadalupe Rd, Ste A106",Gilbert,AZ,85234,5.0,4,1,"Lactation Services, Health & Medical, Shopping, Yoga, Fitness & Instruction, Baby Gear & Furniture, Active Life"
3236,Om West,46 Avenue Sainte-Anne,Pointe-Claire,QC,H9S 4P8,5.0,3,1,"Fitness & Instruction, Yoga, Active Life, Acupuncture, Massage, Pilates, Health & Medical, Beauty & Spas"
3239,Onyx Health Club 24/7 - North Olmsted,24101 Lorain Rd,North Olmsted,OH,44070,5.0,6,1,"Active Life, Interval Training Gyms, Circuit Training Gyms, Gyms, Fitness & Instruction"
3313,CKO Kickboxing Las Vegas,"5752 S Fort Apache Rd, Ste 130",Las Vegas,NV,89148,4.5,21,1,"Fitness & Instruction, Kickboxing, Gyms, Martial Arts, Fitness/Exercise Equipment, Active Life, Shopping"
3342,EōS Fitness,6564 Losee Rd,North Las Vegas,NV,89086,3.5,255,1,"Physical Therapy, Gyms, Yoga, Health & Medical, Fitness & Instruction, Active Life, Pilates, Cardio Classes, Trainers"
3421,Cielo Studios,2101 Route Transcanadienne,Dorval,QC,H9P 1J1,4.0,4,1,"Martial Arts, Dance Studios, Yoga, Gyms, Pilates, Active Life, Fitness & Instruction"
3586,STHIEL PILATES and Movement Center,316 S Saint Clair St,Pittsburgh,PA,15206,5.0,3,1,"Pilates, Yoga, Aerial Fitness, Active Life, Fitness & Instruction"
3689,Project Refined Life,,Gilbert,AZ,85296,5.0,3,1,"Active Life, Yoga, Health & Medical, Reiki, Fitness & Instruction, Meditation Centers"
3691,Amazing Yoga,1506 E Carson St,Pittsburgh,PA,15203,4.5,19,1,"Active Life, Yoga, Fitness & Instruction"
3709,University of Toronto Athletic Centre,55 Harbord Street,Toronto,ON,M5S 2W6,4.0,12,1,"Stadiums & Arenas, Arts & Entertainment, Gyms, Active Life, Fitness & Instruction"
3757,Luna Yoga,231 Rue Saint-Paul O,Montréal,QC,H2Y 2A2,4.5,15,1,"Active Life, Specialty Schools, Education, Yoga, Fitness & Instruction"
3808,24 Hour Fitness - Las Vegas Rainbow,601 S Rainbow Blvd,Las Vegas,NV,89145,3.0,113,1,"Trainers, Gyms, Active Life, Fitness & Instruction"
3862,Grant's MMA and Boxing Gym,"4884 Dufferin Street, Unit 6",North York,ON,M3H 5T4,2.5,3,1,"Active Life, Fitness & Instruction, Martial Arts, Health & Medical"
3882,Physiques Fitness by Elvira,4828 N16th St,Phoenix,AZ,85016,5.0,5,1,"Trainers, Health & Medical, Rehabilitation Center, Nutritionists, Fitness & Instruction, Weight Loss Centers, Active Life, Gyms"
4019,Dance Life Studio & Fitness,6725 Seybold Rd,Madison,WI,53719,4.0,16,1,"Active Life, Fitness & Instruction, Adult Education, Dance Studios, Education, Arts & Entertainment, Performing Arts"
4264,GoodLife Fitness,2235 Sheppard Avenue E,North York,ON,M2J 5B5,2.5,16,1,"Trainers, Active Life, Gyms, Sports Clubs, Fitness & Instruction"
4337,Feels Like Home Farm,10875 Sperry Rd,Willoughby,OH,44094,5.0,6,1,"Farms, Arts & Entertainment, Ranches, Yoga, Pet Breeders, Pets, Fitness & Instruction, Petting Zoos, Zoos, Attraction Farms, Pet Services, Active Life"
4397,LA Fitness,"601 Clairton Blvd, Ste 38",Pleasant Hills,PA,15236,2.5,12,1,"Yoga, Fitness & Instruction, Active Life, Trainers, Gyms, Sports Clubs"
4403,Vive Fitness,807 Bathurst Street,Toronto,ON,M6G 2M9,4.0,5,1,"Active Life, Gyms, Fitness & Instruction"
4432,Foothills Sports Medicine Physical Therapy,"539 E Glendale Ave, Ste 105",Phoenix,AZ,85020,4.0,22,1,"Health & Medical, Fitness & Instruction, Sports Medicine, Active Life, Physical Therapy, Gyms, Doctors"
4438,Pure Barre - Westlake Avon,33576 Detroit Rd,Westlake,OH,44011,4.5,8,1,"Fashion, Active Life, Barre Classes, Fitness & Instruction, Shopping, Women's Clothing"
4498,GoodLife Fitness,140-8th Avenue SW,Calgary,AB,T2P 1B3,3.0,5,1,"Fitness & Instruction, Active Life, Gyms"
4541,Blue Foot Spa,"2753 E Broadway Rd, Ste A105",Mesa,AZ,85204,4.5,42,1,"Day Spas, Massage Therapy, Active Life, Fitness & Instruction, Reflexology, Health & Medical, Beauty & Spas, Massage"
4614,SinCity Crossfit,958 Empire Mesa Way,Henderson,NV,89011,5.0,21,1,"Gyms, Fitness & Instruction, Trainers, Active Life, Interval Training Gyms"
4619,Studio Bizz Mont-Royal,"551 Avenue du Mont-Royal E, 3e étage",Montréal,QC,H2J 1W6,4.5,6,1,"Arts & Entertainment, Performing Arts, Venues & Event Spaces, Local Services, Dance Studios, Fitness & Instruction, Event Planning & Services, Recording & Rehearsal Studios, Active Life"
4733,Speed and Strength University,"22150 N 20th St, Ste 101",Phoenix,AZ,85024,5.0,5,1,"Fitness & Instruction, Gyms, Trainers, Physical Therapy, Active Life, Health & Medical"
4758,Planet Fitness,10215-B University City Blvd,Charlotte,NC,28262,3.0,32,1,"Gyms, Fitness & Instruction, Active Life, Tanning, Trainers, Beauty & Spas"
4897,One-to-One Fitness Center,2130 Adelbert Rd,Cleveland,OH,44106,3.0,28,1,"Active Life, Trainers, Gyms, Fitness & Instruction"
4914,SHAPE Training,5916 Penn Ave,Pittsburgh,PA,15206,5.0,15,1,"Trainers, Active Life, Fitness & Instruction, Boxing, Gyms"
4916,Fitworks Highland Heights,5612 Wilson Mills Rd,Highland Heights,OH,44143,3.0,12,1,"Arts & Entertainment, Active Life, Trainers, Gyms, Fitness & Instruction"
4953,Brookfield Residential YMCA at Seton,4995 Market Street SE,Calgary,AB,T3M 2P9,2.5,3,1,"Swimming Pools, Libraries, Gyms, Recreation Centers, Fitness & Instruction, Active Life, Public Services & Government"
5048,CKO Kickboxing,5350 Prosperity Chuch Road,Charlotte,NC,28269,5.0,3,1,"Martial Arts, Trainers, Fitness & Instruction, Kickboxing, Gyms, Boxing, Active Life"
5151,McDowell Mountain Ranch Fitness & Aquatic Center,15525 N Thompson Peak Pkwy,Scottsdale,AZ,85260,4.0,28,1,"Public Services & Government, Active Life, Swimming Pools, Skate Parks, Parks, Fitness & Instruction"
5247,Bikram Yoga,435 Avenue Laurier E,Montréal,QC,H2J 2P6,3.5,8,1,"Active Life, Yoga, Fitness & Instruction"
5262,University City Branch YMCA,8100 Old Mallard Creek Rd,Charlotte,NC,28262,3.0,20,1,"Sports Clubs, Local Services, Active Life, Community Service/Non-Profit, Fitness & Instruction, Gyms, Child Care & Day Care"
5272,Iam Yoga,"680 Yonge Street, 2nd Floor",Toronto,ON,M4Y 1A6,3.5,62,1,"Active Life, Yoga, Fitness & Instruction"
5440,Hubbard Family Swim School,"1061 N Dobson Rd, Ste 101",Mesa,AZ,85201,4.5,32,1,"Active Life, Swimming Pools, Sports Clubs, Specialty Schools, Fitness & Instruction, Swimming Lessons/Schools, Education"
5480,The Greentree Sportsplex,600 Iron City Dr,Pittsburgh,PA,15205,3.0,6,1,"Active Life, Trainers, Boot Camps, Gyms, Fitness & Instruction"
5486,CrossFit Mountain's Edge,5001 W Diablo Dr,Las Vegas,NV,89118,5.0,30,1,"Fitness & Instruction, Gyms, Active Life, Interval Training Gyms"
5611,Raw Fitness,"18047 W Catawba Ave, Ste A",Cornelius,NC,28031,5.0,4,1,"Active Life, Trainers, Fitness & Instruction, Boot Camps"
5757,9Round,6636 Mineral Point Rd,Madison,WI,53705,4.5,4,1,"Weight Loss Centers, Trainers, Active Life, Health & Medical, Fitness & Instruction, Gyms, Boxing"
5917,K.O. Fitness + Bootcamp,"658 Griffith Rd, Ste 110",Charlotte,NC,28217,5.0,4,1,"Active Life, Fitness & Instruction"
5962,Youfit Health Clubs,3901 E Thunderbird Rd,Phoenix,AZ,85032,3.5,7,1,"Active Life, Gyms, Fitness & Instruction"
6069,West Park Fairview Branch YMCA,15501 Lorain Ave,Cleveland,OH,44111,2.5,7,1,"Swimming Pools, Fitness & Instruction, Active Life, Child Care & Day Care, Gyms, Trainers, Local Services"
6123,Workout Anytime - Mint Hill,6273 Wilson Grove Rd,Mint Hill,NC,28227,3.5,6,1,"Beauty & Spas, Trainers, Tanning Beds, Tanning, Gyms, Fitness & Instruction, Active Life"
6129,Diva Salon Spa,"Southcentre Mall, 100 Anderson Road SE, Suite 29",Calgary,AB,T2J 3V1,3.5,11,1,"Gyms, Day Spas, Active Life, Fitness & Instruction, Hair Salons, Beauty & Spas, Hair Removal"
6141,Mago Mindfulness Center,"2136 E Baseline Rd, SteB1",Mesa,AZ,85204,5.0,3,1,"Yoga, Tai Chi, Fitness & Instruction, Active Life, Meditation Centers"
6149,Lotus Palm,5244 St. Urbain St,Montréal,QC,H2T 2W6,4.0,4,1,"Active Life, Yoga, Specialty Schools, Fitness & Instruction, Massage Schools, Education"
6179,Glenmore Athletic Park,5300 19 Street SW,Calgary,AB,T3E 1P1,3.0,3,1,"Swimming Pools, Parks, Arts & Entertainment, Recreation Centers, Active Life, Amateur Sports Teams, Golf, Fitness & Instruction, Gyms, Stadiums & Arenas"
6190,Knockout Fitness,1551 E Elliot Rd,Gilbert,AZ,85237,3.5,60,1,"Martial Arts, Active Life, Gyms, Trainers, Boxing, Fitness & Instruction"
6223,CrossFit Magna,"4318 E Cactus Rd, Ste M003",Phoenix,AZ,85032,5.0,34,1,"Fitness & Instruction, Active Life, Gyms, Yoga, Interval Training Gyms, Trainers"
6254,i9 Sports,8621 N 16th Ave,Phoenix,AZ,85021,1.5,7,1,"Amateur Sports Teams, Gyms, Active Life, Fitness & Instruction"
6272,The Sweat Lab,288 St Moritz Drive SW,Calgary,AB,T3H 5X8,4.0,11,1,"Fitness & Instruction, Yoga, Trainers, Active Life"
6389,Anytime Fitness,4117 Blvd - St Laurent,Montreal,QC,H2W 1Y7,3.5,6,1,"Gyms, Fitness & Instruction, Trainers, Active Life"
6418,Alive Danceworks,401-722 85 Street SW,Calgary,AB,T3H 1S6,3.5,3,1,"Education, Active Life, Dance Schools, Performing Arts, Trainers, Arts & Entertainment, Specialty Schools, Fitness & Instruction"
6433,Aspire Kids Sports Center,50 S Hearthstone Way,Chandler,AZ,85226,4.0,25,1,"Education, Summer Camps, Swimming Lessons/Schools, Active Life, Fitness & Instruction, Specialty Schools, Sports Clubs, Gymnastics"
6509,Swing Orthopedic & Sports Physical Therapy,20250 N 75th Ave,Glendale,AZ,85308,5.0,3,1,"Doctors, Sports Medicine, Golf Lessons, Fitness & Instruction, Orthopedists, Health & Medical, Active Life, Physical Therapy"
6542,MINT Strength,"7825 E Redfield Rd, Ste 104",Scottsdale,AZ,85260,5.0,6,1,"Active Life, Gyms, Interval Training Gyms, Trainers, Fitness & Instruction"
6546,Pro Sports Performance,11985 Prospect Rd,Strongsville,OH,44149,5.0,4,1,"Fitness & Instruction, Active Life, Trainers, Gyms"
6604,Anytime Fitness,8124 Blair Rd,Mint Hill,NC,28227,3.5,3,1,"Trainers, Yoga, Gyms, Fitness & Instruction, Active Life"
6622,Carter's Gymnastics Academy,7931 E Pecos,Mesa,AZ,85212,4.0,4,1,"Gymnastics, Specialty Schools, Fitness & Instruction, Active Life, Education, Gyms"
6643,Function Pilates Studio,"1840 E Warner Rd, Ste 104",Tempe,AZ,85284,5.0,43,1,"Health & Medical, Barre Classes, Active Life, Occupational Therapy, Pilates, Yoga, Fitness & Instruction, Physical Therapy"
6658,Green Therapeutics,"3295 N Drinkwater, Ste 16",Scottsdale,AZ,85251,5.0,3,1,"Active Life, Fitness & Instruction, Massage Therapy, Health & Medical, Yoga, Beauty & Spas, Massage"
6729,The Pilates Body,"6253 Dean Martin Dr, Ste H",Las Vegas,NV,89118,5.0,4,1,"Fitness & Instruction, Active Life, Pilates"
6851,Mandel Jewish Community Center,26001 S Woodland Rd,Beachwood,OH,44122,4.0,22,1,"Hotels & Travel, Campgrounds, Day Camps, Recreation Centers, Arts & Entertainment, Business Consulting, Swimming Pools, Active Life, Religious Organizations, Public Services & Government, Education, Community Service/Non-Profit, Preschools, Summer Camps, Local Services, Child Care & Day Care, Professional Services, Gyms, Fitness & Instruction, Community Centers"
6908,Las Vegas Athletic Club,1195 Wellness Pl,Henderson,NV,89014,4.0,14,1,"Gyms, Trainers, Swimming Pools, Cardio Classes, Active Life, Fitness & Instruction, Interval Training Gyms"
6949,Rapid Rehab,"8751 W Charleston Blvd, Ste 270",Las Vegas,NV,89117,4.5,30,1,"Active Life, Physical Therapy, Health & Medical, Trainers, Fitness & Instruction, Pilates"
6985,Bikram Yoga Mesa,"1914 S Power Rd, Ste 106",Mesa,AZ,85206,4.5,17,1,"Active Life, Health & Medical, Professional Services, Fitness & Instruction, Yoga"
6994,The Rising Sun,10330 Yonge Street,Richmond Hill,ON,L4C 5N1,5.0,4,1,"Shopping, Arts & Entertainment, Life Coach, Reiki, Fitness & Instruction, Spiritual Shop, Supernatural Readings, Books, Mags, Music & Video, Bookstores, Meditation Centers, Active Life, Gift Shops, Health & Medical, Flowers & Gifts, Professional Services"
7079,Miracles of Phoenix Fitness,1524 E Pierson St,Phoenix,AZ,85016,5.0,4,1,"Fitness & Instruction, Active Life"
7242,hoame,430 Adelaide Street West,Toronto,ON,M5V 1S7,3.0,6,1,"Fitness & Instruction, Meditation Centers, Active Life"
7255,Snap Fitness,13525 N Fountain Hills Blvd,Fountain Hills,AZ,85268,5.0,3,1,"Fitness & Instruction, Gyms, Trainers, Active Life, Weight Loss Centers, Health & Medical"
7281,Monkey Bar Gym,1876 E Washington Ave,Madison,WI,53704,4.0,10,1,"Fitness & Instruction, Active Life, Yoga, Trainers, Boot Camps, Gyms"
7489,Anytime Fitness,"9856 Gilead Rd, Ste 101",Huntersville,NC,28078,4.5,14,1,"Fitness & Instruction, Active Life, Gyms, Trainers"
7493,Ata Master Yoon's Martial Arts Sc,7435 S Durango Dr,Las Vegas,NV,89113,4.5,6,1,"Martial Arts, Fitness & Instruction, Active Life"
7539,Orangetheory Fitness Yonge & Eglinton,97 Eglinton Ave East,Toronto,ON,M4P 1H4,2.5,3,1,"Trainers, Active Life, Gyms, Cardio Classes, Fitness & Instruction"
