name,url,street_address,city,state,zip_code,country,phone_number_1,phone_number_2,fax_1,fax_2,email_1,email_2,website,open_hours,latitude,longitude,facebook,twitter,instagram,pinterest,youtube
DALY CITY,https://www.luckysupermarkets.com/stores#/5034,6843 MISSION BLVD,DALY CITY,CA,94015,US,650-992-6260,650-992-9490,650-992-6254,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.6976637,-122.46491,,,,,
DANVILLE,https://www.luckysupermarkets.com/stores#/5035,660 SAN RAMON VALLEY RD,DANVILLE,CA,94526,US,925-820-4522,,925-820-0285,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.8129748,-121.99463,,,,,
ClickCart - EL CERRITO,https://www.luckysupermarkets.com/stores#/5036,1000 EL CERRITO PLAZA,EL CERRITO,CA,94530,US,510-524-7282,510-524-8280,510-558-1767,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.9005486,-122.29825,,,,,
FOSTER CITY,https://www.luckysupermarkets.com/stores#/5037,919 EDGEWATER BLVD,FOSTER CITY,CA,94404,US,650-572-1321,650-572-1167,650-572-0378,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.5455789,-122.27132,,,,,
MISSION FREMONT,https://www.luckysupermarkets.com/stores#/5038,40055 MISSION BLVD,FREMONT,CA,94539,US,510-657-6043,510-657-5280,510-657-3392,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",37.5559452,-121.9518,,,,,
CHARTER SQUARE,https://www.luckysupermarkets.com/stores#/5039,34101 FREMONT BLVD,FREMONT,CA,94555,US,510-790-0491,510-794-9735,510-713-7041,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.576239,-122.0455,,,,,
ClickCart - BROOKVALE,https://www.luckysupermarkets.com/stores#/5040,35820 FREMONT BLVD,FREMONT,CA,94536,US,510-792-0900,,510-792-2854,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.5673494,-122.0233,,,,,
ClickCart - MOWRY,https://www.luckysupermarkets.com/stores#/5041,5000 MOWRY AVE,FREMONT,CA,94538,US,510-744-1660,510-744-9330,510-744-9459,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.5346851,-121.99779,,,,,
MISSION HAYWARD,https://www.luckysupermarkets.com/stores#/5042,22555 MISSION BLVD,HAYWARD,CA,94541,US,510-538-7120,510-538-7819,510-538-7923,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.6719414,-122.08602,,,,,
HAYWARD-SANTA CLARA ST,https://www.luckysupermarkets.com/stores#/5043,25151 SANTA CLARA ST,HAYWARD,CA,94544,US,510-670-0620,510-670-0821,510-786-4184,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.647956,-122.08989,,,,,
HERCULES,https://www.luckysupermarkets.com/stores#/5044,1590 SYCAMORE AVE,HERCULES,CA,94547,US,510-245-7080,510-245-1440,510-245-7251,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.0078817,-122.27034,,,,,
HOLLISTER,https://www.luckysupermarkets.com/stores#/5045,291 McCRAY ST,HOLLISTER,CA,95023,US,831-634-2810,831-634-1887,831-384-7631,,,,,"Sunday : 06:00AM - 10:00PM, Monday : 06:00AM - 10:00PM, Tuesday : 06:00AM - 10:00PM, Wednesday : 06:00AM - 10:00PM, Thursday : 06:00AM - 10:00PM, Friday : 06:00AM - 10:00PM, Saturday : 06:00AM - 10:00PM",36.8531816,-121.39746,,,,,
LARKSPUR,https://www.luckysupermarkets.com/stores#/5046,570 MAGNOLIA AVE,LARKSPUR,CA,94939,US,415-924-5405,415-924-6738,415-924-6827,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.9372947,-122.53368,,,,,
ClickCart - PORTOLA,https://www.luckysupermarkets.com/stores#/5047,2000 PORTOLA AVE,LIVERMORE,CA,94550,US,925-456-2900,925-456-7697,925-456-2967,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.692574,-121.77506,,,,,
HOLMES,https://www.luckysupermarkets.com/stores#/5048,1951 HOLMES ST,LIVERMORE,CA,94550,US,925-447-9051,925-447-7762,925-625-0504,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.6615393,-121.78126,,,,,
LOS ALTOS,https://www.luckysupermarkets.com/stores#/5049,2175 GRANT RD,LOS ALTOS,CA,94024,US,650-969-1326,650-969-0772,650-969-0309,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",37.342214,-122.07151,,,,,
MARINA VILLAGE,https://www.luckysupermarkets.com/stores#/5050,270 RESERVATION RD,MARINA,CA,93933,US,831-384-1442,,831-384-7631,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",36.6840915,-121.7965,,,,,
MARTINEZ,https://www.luckysupermarkets.com/stores#/5051,1145 ARNOLD DR,MARTINEZ,CA,94553,US,925-372-8661,,925-372-5369,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.9947795,-122.10271,,,,,
MILLBRAE,https://www.luckysupermarkets.com/stores#/5052,45 MURCHISON DR,MILLBRAE,CA,94030,US,650-692-0429,,650-692-6760,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.5966681,-122.38754,,,,,
PARK VICTORIA,https://www.luckysupermarkets.com/stores#/5053,1350 S PARK VICTORIA DR,MILPITAS,CA,95035,US,408-262-6727,,408-262-9530,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",37.4184298,-121.8748,,,,,
CALIFORNIA BLVD,https://www.luckysupermarkets.com/stores#/5054,2355 CALIFORNIA BLVD,NAPA,CA,94558,US,707-256-3407,707-253-1643,707-256-3464,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.3057934,-122.30347,,,,,
TRANCAS,https://www.luckysupermarkets.com/stores#/5055,1312 TRANCAS ST,NAPA,CA,94558,US,707-255-7767,707-255-7400,707-226-9572,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.3234555,-122.30147,,,,,
NOVATO,https://www.luckysupermarkets.com/stores#/5056,1761 GRANT AVE,NOVATO,CA,94947,US,415-897-4891,,415-893-9030,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.1086472,-122.58032,,,,,
MOUNTAIN BLVD,https://www.luckysupermarkets.com/stores#/5057,1963 MOUNTAIN BLVD,OAKLAND,CA,94611,US,510-339-4290,,510-339-7828,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.8275329,-122.21336,,,,,
E. EIGHTEENTH,https://www.luckysupermarkets.com/stores#/5058,247 E. 18TH ST,OAKLAND,CA,94606,US,510-272-0467,510-272-9042,510-272-9103,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.7993806,-122.25321,,,,,
OAKLEY,https://www.luckysupermarkets.com/stores#/5059,2545 MAIN ST,OAKLEY,CA,94561,US,925-625-7505,925-625-7557,925-530-4582,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.996431,-121.73133,,,,,
PACIFIC GROVE,https://www.luckysupermarkets.com/stores#/5060,200 COUNTRY CLUB GATE CENTER,PACIFIC GROVE,CA,93950,US,831-373-7381,,831-373-6740,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",36.607461,-121.92595,,,,,
LAKEVILLE HIGHWAY,https://www.luckysupermarkets.com/stores#/5061,939 LAKEVILLE HIGHWAY,PETALUMA,CA,94952,US,707-762-8783,707-762-1036,707-762-5076,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.236601,-122.624,,,,,
PETALUMA BLVD,https://www.luckysupermarkets.com/stores#/5062,1000 PETALUMA BLVD N,PETALUMA,CA,94952,US,707-763-2469,,707-763-9541,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.245404,-122.64343,,,,,
FITZGERALD,https://www.luckysupermarkets.com/stores#/5063,1530 FITZGERALD DR,PINOLE,CA,94564,US,510-758-0443,510-758-6581,510-758-0448,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.990143,-122.30251,,,,,
PLEASANTON,https://www.luckysupermarkets.com/stores#/5064,6155 W. LAS POSITAS,PLEASANTON,CA,94566,US,925-462-1520,925-462-3530,925-249-0840,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.6824151,-121.90542,,,,,
REDWOOD CITY,https://www.luckysupermarkets.com/stores#/5065,200 WOODSIDE PLAZA,REDWOOD CITY,CA,94061,US,650-369-8678,,650-369-8065,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",37.4565207,-122.2299,,,,,
SOUTH MAIN,https://www.luckysupermarkets.com/stores#/5066,1150 S. MAIN ST,SALINAS,CA,93901,US,831-758-8233,,831-758-8520,,,,,"Sunday : 06:00AM - 10:00PM, Monday : 06:00AM - 10:00PM, Tuesday : 06:00AM - 10:00PM, Wednesday : 06:00AM - 10:00PM, Thursday : 06:00AM - 10:00PM, Friday : 06:00AM - 10:00PM, Saturday : 06:00AM - 10:00PM",36.6590633,-121.66051,,,,,
SAN BRUNO,https://www.luckysupermarkets.com/stores#/5067,1322 EL CAMINO REAL,SAN BRUNO,CA,94066,US,650-742-9733,650-742-9737,650-828-0493,,,,,"Sunday : 06:00AM - 02:00AM, Monday : 06:00AM - 02:00AM, Tuesday : 06:00AM - 02:00AM, Wednesday : 06:00AM - 02:00AM, Thursday : 06:00AM - 02:00AM, Friday : 06:00AM - 02:00AM, Saturday : 06:00AM - 02:00AM",37.6402987,-122.42213,,,,,
SAN CARLOS,https://www.luckysupermarkets.com/stores#/5068,1133 OLD COUNTY RD,SAN CARLOS,CA,94070,US,650-637-1780,650-637-1788,650-637-8310,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.500197,-122.24894,,,,,
ClickCart - DUBLIN,https://www.luckysupermarkets.com/stores#/5846,2840 Dublin Blvd.,DUBLIN,CA,94568,US,925-452-2077,,,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.706987,-121.85427,,,,,
SLOAT BLVD,https://www.luckysupermarkets.com/stores#/5069,1515 SLOAT BLVD,SAN FRANCISCO,CA,94132,US,415-681-4300,415-681-4136,415-664-7367,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.7332613,-122.48945,,,,,
FULTON ST,https://www.luckysupermarkets.com/stores#/5070,1750 FULTON ST,SAN FRANCISCO,CA,94117,US,415-923-6411,415-923-6789,415-409-4521,,,,,"Sunday : 07:00AM - 10:00PM, Monday : 07:00AM - 10:00PM, Tuesday : 07:00AM - 10:00PM, Wednesday : 07:00AM - 10:00PM, Thursday : 07:00AM - 10:00PM, Friday : 07:00AM - 10:00PM, Saturday : 07:00AM - 10:00PM",37.7762543,-122.44782,,,,,
ClickCart - CAMDEN AVE.,https://www.luckysupermarkets.com/stores#/5071,2027 CAMDEN AVE,SAN JOSE,CA,95124,US,408-559-9484,408-559-9491,408-559-0906,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",37.2629106,-121.93257,,,,,
W. CAPITAL EXPRESSWAY,https://www.luckysupermarkets.com/stores#/5072,565 W. CAPITOL EXPRESSWAY,SAN JOSE,CA,95136,US,408-445-6900,408-267-6828,408-445-6907,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.2758505,-121.85381,,,,,
ClickCart - BERNAL RD,https://www.luckysupermarkets.com/stores#/5073,129 BERNAL RD,SAN JOSE,CA,95119,US,408-578-6268,408-578-2295,408-578-2881,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.2329041,-121.7769,,,,,
ClickCart - EL PASEO DE SARATOGA,https://www.luckysupermarkets.com/stores#/5074,200 EL PASEO DE SARATOGA,SAN JOSE,CA,95130,US,408-364-8800,408-370-1205,408-364-8807,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.2887523,-121.99542,,,,,
ClickCart - MERIDIAN RD,https://www.luckysupermarkets.com/stores#/5075,6109 MERIDIAN AVE,SAN JOSE,CA,95120,US,408-997-3100,,408-997-3629,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",37.2288615,-121.88584,,,,,
SAN JOSE,https://www.luckysupermarkets.com/stores#/5076,844 BLOSSOM HILL RD,SAN JOSE,CA,95123,US,408-578-8484,408-972-2862,408-362-1918,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.2492563,-121.85733,,,,,
BLOSSOM HILL ROAD,https://www.luckysupermarkets.com/stores#/5077,430 BLOSSOM HILL RD,SAN JOSE,CA,95123,US,408-225-6350,,408-281-4954,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",37.250297,-121.82947,,,,,
S. WHITE RD,https://www.luckysupermarkets.com/stores#/5078,3270 S. WHITE RD,SAN JOSE,CA,95148,US,408-270-6120,,408-531-9617,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.315276,-121.79017,,,,,
FAIRMONT DR,https://www.luckysupermarkets.com/stores#/5079,1300 FAIRMONT DR,SAN LEANDRO,CA,94578,US,510-276-6905,510-276-8106,510-276-9135,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.7037689,-122.12898,,,,,
SAN LORENZO,https://www.luckysupermarkets.com/stores#/5080,15840 HESPERIAN BLVD,SAN LORENZO,CA,94580,US,510-276-6484,510-276-9395,510-276-7290,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.682453,-122.12716,,,,,
